,index,amt,merchant_1,merchant_2,category,year,city_pop,is_fraud
163604,163604,176.06,269,-1,12,1977,9521,0
852534,852534,5.99,277,-1,13,1968,92985,0
65570,65570,58.82,390,99,1,1979,100,0
558693,558693,30.03,309,-1,8,1993,238602,0
818403,818403,8.37,272,-1,12,1973,105549,0
593053,593053,1.03,458,-1,12,1987,12335,0
1149455,1149455,69.71,225,-1,4,1987,16163,0
218297,218297,51.41,505,-1,8,1945,348,0
937173,937173,119.41,317,44,4,1952,254,0
713325,713325,66.68,247,-1,10,1957,11253,0
670608,670608,72.08,362,-1,2,1962,1766,0
282923,282923,88.81,357,-1,0,1955,475,0
1254342,1254342,1.22,302,-1,10,1988,167,0
1024215,1024215,4.32,179,-1,11,1977,26551,0
519115,519115,44.04,112,-1,3,1988,477,0
391229,391229,78.05,22,-1,2,1969,45303,0
891238,891238,144.66,536,133,1,1969,25459,0
1283078,1283078,1.26,64,-1,11,1947,6018,0
1231932,1231932,35.53,116,34,7,1997,4653,0
201605,201605,101.78,200,-1,6,1986,601723,0
530040,530040,68.01,76,-1,9,1984,13602,0
567462,567462,57.88,261,-1,5,1973,2121,0
471125,471125,82.14,126,-1,0,1994,95,0
901673,901673,56.78,92,159,2,1965,2786,0
1087496,1087496,106.4,197,147,11,1980,1126,0
556133,556133,183.47,302,-1,10,1988,1847,0
388978,388978,11.8,336,-1,8,1973,5621,0
403515,403515,5.89,388,-1,10,1984,21134,0
276489,276489,51.31,478,83,2,1971,1943,0
782475,782475,21.21,571,144,5,1975,4074,0
46128,46128,81.91,206,-1,4,1972,271,0
55192,55192,50.34,579,-1,0,1966,516,0
50547,50547,61.67,438,15,2,1927,633,0
160726,160726,43.55,163,158,3,1976,1645,0
1209161,1209161,64.77,113,-1,2,1975,5548,0
876706,876706,31.49,14,18,6,1968,10256,0
1044232,1044232,53.15,22,-1,2,1956,4589,0
690945,690945,34.17,607,-1,7,1997,165556,0
548166,548166,54.87,73,-1,7,1960,927396,0
1178134,1178134,4.56,567,164,7,1995,67858,0
380600,380600,103.9,270,79,2,1948,2661,0
88115,88115,1.95,181,-1,13,1988,338,0
55219,55219,19.48,172,-1,10,1990,7297,0
1142035,1142035,28.35,51,-1,0,1975,5895,0
1247844,1247844,3.74,17,-1,1,1972,765,0
750898,750898,23.16,349,55,1,1995,1595797,0
482850,482850,103.82,68,-1,4,1979,595,0
509658,509658,4.02,458,-1,12,1966,680,0
750867,750867,210.89,568,-1,6,1963,298,0
941319,941319,67.96,173,-1,2,1941,471,0
1279554,1279554,46.87,567,75,2,1983,540,0
1196247,1196247,65.97,258,-1,2,1954,337,0
718574,718574,66.9,44,-1,2,1977,33917,0
54247,54247,6.95,164,-1,11,1959,198,0
700714,700714,1.17,626,116,12,1989,341043,0
142491,142491,25.39,265,-1,3,1944,914,0
453316,453316,21.9,619,-1,6,1978,149,0
63603,63603,62.35,44,-1,2,1959,1131,0
817931,817931,62.46,41,-1,7,1951,1178,0
1043628,1043628,212.01,375,-1,4,1983,186140,0
1198216,1198216,70.98,546,-1,3,1990,18128,0
1218036,1218036,5.98,461,-1,11,1973,190178,0
383548,383548,103.97,204,-1,1,1973,190178,0
701540,701540,32.76,152,-1,10,1963,192805,0
319268,319268,27.35,629,49,9,1971,31515,0
74176,74176,42.11,304,96,6,1985,76383,0
167295,167295,18.73,93,-1,1,1976,346,0
532748,532748,4.88,460,-1,1,1967,1939,0
508868,508868,65.05,567,75,2,1962,91,0
1217535,1217535,7.59,538,145,12,1980,509,0
213013,213013,36.05,368,-1,12,1985,6951,0
426824,426824,8.41,125,-1,12,1981,3104,0
914187,914187,1.94,38,-1,12,1984,1523,0
829950,829950,7.47,85,-1,6,1998,166081,0
540717,540717,29.16,575,-1,6,1988,1661,0
356386,356386,11.79,351,209,1,1946,522,0
614386,614386,50.75,113,-1,2,1961,628,0
960009,960009,6.35,169,-1,12,1962,103927,0
611669,611669,32.55,120,-1,7,1978,3279,0
81697,81697,130.06,375,-1,4,1954,1909,0
137922,137922,56.22,355,-1,7,1970,23805,0
397496,397496,98.87,553,-1,3,2000,111,0
950566,950566,169.17,406,-1,4,1973,5621,0
118477,118477,1.47,165,-1,11,1966,1925,0
558976,558976,63.43,563,-1,1,1936,6284,0
128135,128135,75.92,571,144,5,1986,795,0
191946,191946,90.82,249,-1,7,1929,19090,0
1228877,1228877,14.38,324,-1,8,1986,50835,0
740496,740496,18.22,396,-1,8,1964,3032,0
700823,700823,72.5,619,-1,6,1994,95,0
1271524,1271524,43.58,153,-1,2,1930,307,0
229026,229026,95.95,300,-1,4,1976,1051,0
1196823,1196823,205.85,512,-1,4,1987,12747,0
239625,239625,41.39,261,-1,5,1979,1019,0
866588,866588,68.59,101,-1,2,1957,828,0
992066,992066,2.53,529,141,10,1968,92985,0
357966,357966,8.21,181,-1,9,1945,589,0
230901,230901,8.34,64,-1,9,1988,88735,0
1085798,1085798,127.19,623,-1,7,1997,3224,0
1013869,1013869,23.51,480,-1,5,1960,1506,0
1279942,1279942,89.22,40,-1,2,1998,4542,0
1080513,1080513,26.38,636,-1,6,1945,165,0
134196,134196,1843.95,571,125,12,1945,6713,0
977129,977129,71.57,567,75,2,1945,589,0
825420,825420,9.32,246,155,13,1960,1923,0
559918,559918,44.13,430,-1,7,1973,3688,0
695365,695365,76.26,509,65,5,1983,229,0
320056,320056,107.76,73,-1,7,1926,4845,0
1041822,1041822,136.58,617,157,0,1983,328,0
1244666,1244666,48.66,94,-1,6,1990,4056,0
1205744,1205744,54.38,175,-1,5,1957,828,0
1122030,1122030,10.89,468,-1,5,1926,1324,0
1065755,1065755,49.15,161,92,1,1971,34882,0
131980,131980,40.71,501,-1,5,1960,626,0
60147,60147,9.12,28,189,12,1956,134056,0
522605,522605,8.28,418,213,11,1955,7430,0
908982,908982,79.16,349,55,1,1964,2317,0
1043405,1043405,30.19,412,43,8,1942,140,0
322684,322684,202.54,443,-1,4,1993,45100,0
365429,365429,2.79,256,-1,8,1971,31515,0
676657,676657,12.53,360,-1,8,1987,16163,0
1012704,1012704,12.57,3,-1,0,1973,5507,0
940785,940785,83.2,24,-1,7,1988,338,0
711335,711335,86.24,579,-1,0,1982,639,0
190234,190234,86.92,449,178,8,1988,606,0
656373,656373,83.3,140,60,6,1979,595,0
458986,458986,9.78,377,190,10,1985,76383,0
277253,277253,29.04,457,199,7,1979,237282,0
107473,107473,61.69,257,-1,2,1978,1563,0
1145904,1145904,30.11,157,136,0,1946,2518,0
955743,955743,57.12,450,-1,2,1983,106,0
95046,95046,5.48,116,57,5,1987,2872,0
907258,907258,71.58,520,-1,7,1987,87124,0
655510,655510,49.43,276,142,3,1987,647,0
942630,942630,41.62,385,126,5,1977,8269,0
494334,494334,35.03,35,-1,7,1966,24645,0
541317,541317,15.0,155,-1,6,1984,207410,0
1073511,1073511,81.83,303,-1,0,1948,55345,0
337549,337549,61.41,515,131,2,1998,17867,0
227770,227770,43.15,592,109,3,1985,21125,0
50569,50569,186.43,311,-1,4,1981,3684,0
315674,315674,38.55,536,133,1,1967,2435,0
864076,864076,14.61,15,-1,5,1935,17047,0
100424,100424,60.92,267,-1,11,1970,2526,0
817316,817316,198.68,275,170,8,1970,2526,0
911334,911334,102.71,23,-1,4,1981,49,0
583163,583163,38.24,646,23,2,1994,2456,0
1285856,1285856,139.79,388,-1,10,1991,1228,0
323688,323688,27.94,63,-1,6,1968,10256,0
737463,737463,62.43,149,-1,3,1984,21134,0
34794,34794,79.86,160,-1,7,2004,163415,0
33742,33742,40.01,109,-1,0,1950,104396,0
1095478,1095478,78.87,316,-1,2,2000,782,0
440511,440511,3.22,386,-1,8,1945,165,0
849935,849935,41.81,63,-1,6,1933,18760,0
1068173,1068173,9.9,425,-1,10,1979,321,0
822576,822576,31.15,581,45,2,1997,3224,0
73368,73368,40.86,519,-1,10,1985,36438,0
850859,850859,18.37,509,65,5,1992,525713,0
657529,657529,117.86,342,-1,4,1973,1749,0
209289,209289,15.64,25,-1,11,1972,2401,0
1027858,1027858,84.36,179,-1,11,1972,1261,0
429263,429263,3.57,607,-1,7,1992,123373,0
1247477,1247477,55.07,173,-1,2,1995,1595797,0
184932,184932,9.74,532,210,13,1987,2872,0
1219254,1219254,90.84,375,-1,4,1972,18408,0
713331,713331,9.32,529,141,10,1929,52126,0
1081163,1081163,8.1,602,-1,13,1970,46563,0
382774,382774,70.21,446,-1,6,1986,1686,0
902358,902358,28.03,635,208,6,1931,571,0
460975,460975,86.13,431,27,6,1991,1228,0
800698,800698,3.23,355,-1,7,1928,217,0
459075,459075,64.98,153,-1,2,1972,18408,0
260820,260820,66.62,450,-1,2,1975,1595797,0
303728,303728,27.87,37,-1,6,1973,105549,0
616509,616509,7.65,221,129,8,1993,116001,0
503378,503378,7.7,408,-1,12,1995,128715,0
281288,281288,7.73,232,-1,12,1969,4533,0
754300,754300,5.28,466,64,12,1983,328,0
453767,453767,43.66,638,177,7,1987,832,0
691635,691635,77.31,635,208,6,1995,128715,0
695958,695958,53.04,163,158,3,1987,54767,0
485665,485665,12.87,283,-1,9,1984,3766,0
563277,563277,13.07,471,-1,7,1989,530,0
189409,189409,8.09,283,-1,9,1988,3495,0
743360,743360,96.08,286,-1,8,1980,1126,0
1206422,1206422,27.81,211,-1,9,1990,137,0
590073,590073,88.39,495,-1,10,1949,1970,0
510903,510903,67.58,249,-1,7,1960,24840,0
824188,824188,5.53,386,-1,8,1954,337,0
642600,642600,6.69,0,-1,0,1952,5778,0
323874,323874,9.89,15,-1,5,1974,14871,0
26729,26729,6.4,232,-1,12,1951,1178,0
734399,734399,1.41,331,-1,8,1956,70,0
377934,377934,72.15,517,-1,4,1978,158701,0
1016270,1016270,57.94,376,47,7,1977,3996,0
25463,25463,24.03,297,-1,1,1952,10717,0
237249,237249,120.75,225,-1,4,1955,76,0
1204415,1204415,5.2,616,-1,7,1968,2470,0
699544,699544,68.28,581,45,2,1979,321,0
260358,260358,14.25,633,-1,9,1984,85,0
1288662,1288662,56.23,222,-1,0,1965,5354,0
291713,291713,5.98,237,-1,12,1986,1645,0
251791,251791,19.35,146,-1,6,1985,3458,0
793486,793486,4.46,350,194,7,1999,6841,0
1184968,1184968,63.76,97,-1,2,1983,24536,0
128068,128068,97.18,628,-1,7,1985,1970,0
428410,428410,228.04,186,-1,4,1984,19685,0
455620,455620,134.82,310,-1,8,1967,899,0
671404,671404,72.51,131,-1,5,1987,94325,0
566602,566602,49.32,206,-1,4,1980,124967,0
1203932,1203932,77.31,107,117,5,1999,1583,0
38114,38114,18.3,88,90,6,1949,1970,0
1285265,1285265,12.73,91,-1,6,1984,85,0
1256098,1256098,189.43,18,-1,4,1972,270712,0
726638,726638,84.49,476,101,11,1992,123373,0
1037169,1037169,64.46,646,23,2,2004,163415,0
1296169,1296169,104.44,443,-1,4,1986,1675,0
313852,313852,200.81,154,-1,10,1983,178,0
142081,142081,126.41,375,-1,4,1933,1202,0
847992,847992,78.09,601,-1,4,1976,19054,0
982657,982657,100.88,157,136,0,1984,59744,0
544618,544618,111.29,529,120,4,1989,1102,0
684427,684427,52.94,308,169,5,1985,21125,0
788727,788727,15.02,623,-1,7,1986,50835,0
236689,236689,8.25,299,-1,1,1994,1684,0
542178,542178,69.1,423,-1,4,1968,78968,0
175912,175912,3.43,28,93,12,1981,2644,0
684482,684482,101.56,579,-1,0,1965,277,0
433042,433042,85.68,317,44,4,1969,4138,0
960050,960050,53.34,542,-1,3,1982,7163,0
275660,275660,6.8,481,203,1,1981,3104,0
489493,489493,191.71,123,-1,4,1972,11256,0
673831,673831,72.67,489,40,2,1942,46944,0
130475,130475,12.51,194,84,1,1954,133,0
996205,996205,2.77,67,193,10,1970,3833,0
677508,677508,54.95,350,194,7,1932,800,0
1233696,1233696,115.07,443,-1,4,1968,1666,0
925815,925815,46.2,444,-1,7,1978,198,0
1133562,1133562,7.72,279,-1,0,1969,459921,0
1262160,1262160,4.31,28,53,11,1988,3495,0
1002975,1002975,100.77,517,-1,4,1972,343,0
26027,26027,77.15,73,-1,7,1966,717255,0
760033,760033,78.38,302,-1,10,1989,1078,0
444322,444322,29.78,363,-1,10,1978,158701,0
815963,815963,5.15,331,-1,8,1956,134056,0
1204830,1204830,9.56,371,68,11,1987,2872,0
372323,372323,48.08,516,-1,7,1991,828,0
1181829,1181829,160.05,612,-1,10,1954,602,0
793796,793796,17.85,175,-1,5,1960,861,0
396080,396080,34.41,637,-1,3,1931,397,0
888901,888901,43.82,146,-1,6,1969,1656,0
537012,537012,208.14,99,187,0,1977,4090,0
45683,45683,49.2,553,-1,3,1981,49,0
888897,888897,25.16,330,-1,1,1960,1241364,0
776605,776605,108.97,253,-1,4,1972,2401,0
976101,976101,194.87,418,59,4,1947,443,0
580567,580567,54.73,29,-1,10,1965,4664,0
84199,84199,6.09,54,-1,8,1987,46,0
793776,793776,60.55,1,-1,10,1964,191096,0
616596,616596,178.72,287,-1,8,1969,673342,0
391431,391431,54.23,613,191,7,1926,1324,0
961743,961743,9.49,164,-1,11,2000,111,0
886610,886610,59.94,46,188,3,1988,3285,0
543978,543978,486.27,321,-1,13,1978,1446,0
956573,956573,27.61,525,-1,6,1965,4664,0
275435,275435,40.58,51,-1,0,1991,107941,0
772495,772495,34.08,308,169,5,1969,2307,0
629093,629093,93.7,443,-1,4,1984,1858,0
204066,204066,1.13,558,103,11,2004,163415,0
840778,840778,309.94,384,-1,9,1997,606,0
96352,96352,76.97,503,-1,3,1978,5196,0
490345,490345,109.74,596,214,1,1965,112,0
1250438,1250438,42.77,192,-1,7,1988,1661,0
786048,786048,55.09,646,23,2,1972,765,0
47242,47242,60.01,30,-1,1,1987,737,0
1219540,1219540,105.77,515,128,2,1989,341043,0
571179,571179,290.11,412,43,8,1991,4575,0
56393,56393,99.78,467,-1,6,1984,50489,0
687861,687861,7.43,322,-1,13,1985,36438,0
146018,146018,62.53,2,-1,1,1988,7646,0
775280,775280,22.84,216,67,3,1977,11250,0
898077,898077,3.83,383,-1,12,1954,139,0
724262,724262,47.43,264,-1,6,1960,861,0
643853,643853,127.8,37,-1,6,1987,910148,0
1020956,1020956,1.34,352,24,11,1960,502,0
172480,172480,11.68,372,-1,7,1982,172817,0
833572,833572,91.55,518,20,6,1951,427,0
1106566,1106566,72.68,487,-1,5,1948,2661,0
18794,18794,85.64,128,-1,3,1959,5619,0
380999,380999,60.38,202,-1,3,1985,718,0
1182399,1182399,46.26,453,-1,3,1993,14742,0
1139528,1139528,2.75,241,-1,11,1945,184,0
139256,139256,22.51,252,-1,12,1962,1766,0
415531,415531,34.84,166,-1,9,1998,1423,0
108755,108755,17.05,178,-1,6,1972,765,0
252471,252471,4.88,197,147,11,1967,471,0
913218,913218,14.25,452,-1,10,1985,1493,0
769800,769800,65.2,95,6,5,1962,4367,0
704462,704462,561.55,219,165,13,1983,229,0
288474,288474,2.67,460,-1,1,1980,124967,0
637031,637031,7.93,556,-1,9,1986,2206,0
251189,251189,12.73,515,52,0,1959,1131,0
967509,967509,126.24,586,-1,12,1980,1532,0
352925,352925,63.88,161,92,1,1993,2395,0
750505,750505,54.97,472,161,2,1970,911,0
1164825,1164825,7.38,427,1,9,1949,43,0
1006650,1006650,98.63,63,-1,6,1982,172817,0
523131,523131,6.41,28,189,12,1965,1791,0
1089422,1089422,6.8,169,-1,12,1959,190178,0
86282,86282,74.83,97,-1,2,1928,1063,0
415010,415010,5.94,57,21,9,1991,33804,0
1258818,1258818,191.97,406,-1,4,1988,88735,0
156753,156753,147.34,315,74,6,1986,27020,0
23117,23117,132.17,272,-1,12,1999,1383,0
1025818,1025818,103.85,139,-1,4,1964,3032,0
175439,175439,95.02,456,-1,6,1971,31515,0
397685,397685,231.97,196,8,8,1997,276896,0
237467,237467,56.3,229,-1,2,1995,2607,0
1218384,1218384,81.71,376,47,7,1949,4508,0
454184,454184,59.57,355,-1,7,1969,663,0
91733,91733,6.53,25,-1,11,1959,1131,0
498968,498968,30.04,588,198,3,1974,878,0
1015841,1015841,185.43,647,-1,10,1926,1324,0
829977,829977,12.5,563,-1,1,1992,525713,0
991048,991048,34.59,235,-1,9,1978,565,0
617659,617659,11.38,17,-1,1,1959,1131,0
1284351,1284351,137.52,23,-1,4,1942,2328,0
336997,336997,31.71,622,-1,0,1956,260,0
1295529,1295529,94.37,179,-1,11,1991,828,0
1134930,1134930,53.33,369,100,2,1953,69793,0
1293448,1293448,76.99,300,-1,4,1968,10256,0
910159,910159,99.13,395,-1,4,1950,43102,0
509450,509450,50.48,173,-1,2,1976,1051,0
807185,807185,98.2,292,-1,4,1978,1988,0
1107042,1107042,18.54,628,-1,7,1994,22191,0
243813,243813,77.66,105,104,6,1981,1577385,0
521920,521920,213.91,403,172,7,1979,13983,0
414725,414725,10.19,10,200,1,1973,4471,0
125579,125579,123.09,506,-1,7,1970,67082,0
588742,588742,89.12,226,69,4,1973,687276,0
564047,564047,24.72,137,-1,0,1952,10717,0
927852,927852,4.67,38,-1,12,1968,333497,0
784362,784362,85.49,434,-1,4,1942,3119,0
1257779,1257779,4.34,63,-1,6,1960,927396,0
952824,952824,19.33,234,151,5,1969,568,0
773552,773552,88.73,478,83,2,1966,1925,0
393186,393186,246.77,81,73,4,1985,1526206,0
952564,952564,81.73,140,60,6,1980,1126,0
748794,748794,32.37,281,-1,10,1977,4090,0
770347,770347,20.08,431,27,6,1992,54185,0
1201010,1201010,9.67,331,-1,12,1987,46,0
651342,651342,990.36,442,-1,12,1981,5848,0
562385,562385,67.1,258,-1,2,1988,606,0
160916,160916,126.71,469,-1,4,1968,1565,0
889903,889903,9.35,210,-1,9,1995,1595797,0
837106,837106,96.02,129,-1,9,1988,1847,0
600247,600247,80.44,469,-1,4,1985,718,0
93909,93909,7.13,28,93,12,1966,717255,0
1131998,1131998,44.8,596,168,9,1979,276002,0
28200,28200,4.87,343,-1,6,1954,695,0
1104139,1104139,10.76,598,-1,12,1987,545147,0
1267508,1267508,35.22,85,-1,6,1988,606,0
182201,182201,144.27,94,-1,6,1967,614,0
176656,176656,420.56,574,107,9,1972,11256,0
983922,983922,36.25,215,-1,2,1989,77,0
347678,347678,25.66,506,-1,7,1973,5621,0
765117,765117,14.66,152,-1,10,1984,1523,0
1284916,1284916,81.7,251,-1,0,1984,1360,0
369724,369724,9.21,329,-1,11,1975,9815,0
1241785,1241785,492.09,104,71,9,1973,2121,0
460617,460617,34.41,468,-1,5,1977,9521,0
399444,399444,6.31,368,-1,12,1984,21134,0
330277,330277,69.88,366,-1,11,1974,241,0
7118,7118,4.11,93,-1,1,1971,255,0
546892,546892,40.83,97,-1,2,1967,1725,0
247148,247148,47.68,153,-1,2,1989,2368,0
758847,758847,423.32,298,143,13,1991,1654,0
360815,360815,90.41,642,-1,1,1936,15426,0
1088762,1088762,5.39,223,212,11,1949,4508,0
388126,388126,28.74,144,-1,0,1968,744,0
1023100,1023100,22.23,39,108,10,1988,35371,0
150815,150815,23.65,280,-1,11,1971,34882,0
648520,648520,213.49,517,-1,4,1988,3495,0
866893,866893,43.28,592,109,3,1987,12335,0
17946,17946,80.46,412,207,6,1991,291,0
426358,426358,6.07,334,122,13,1984,144160,0
671827,671827,9.94,599,-1,7,1997,276896,0
277740,277740,2.72,577,-1,13,1999,1383,0
105324,105324,5.13,121,-1,1,1991,520,0
423197,423197,81.99,484,-1,6,1991,321490,0
396357,396357,54.21,646,23,2,1999,2504700,0
442820,442820,14.05,85,-1,6,1993,5161,0
343820,343820,2.88,326,-1,5,1979,321,0
21860,21860,56.13,101,-1,2,1945,2290,0
1128996,1128996,100.72,289,-1,5,1981,5848,0
112300,112300,7.49,291,-1,13,1974,1810,0
941124,941124,73.35,588,198,3,2000,111,0
987248,987248,77.37,583,140,5,1989,140,0
751664,751664,118.54,120,-1,7,1951,1139,0
1094172,1094172,586.71,224,-1,11,1971,84106,0
446037,446037,147.0,124,153,6,1985,3458,0
996653,996653,125.26,416,-1,12,1984,144160,0
16719,16719,169.75,364,160,9,1996,564,0
762235,762235,38.52,638,177,7,1970,365,0
978317,978317,9.0,585,-1,9,1997,3224,0
1174063,1174063,80.7,173,-1,2,1986,1675,0
845910,845910,11.36,242,-1,7,1951,1178,0
850532,850532,8.4,45,-1,1,1994,391389,0
989899,989899,120.38,568,-1,6,1961,2799,0
1149549,1149549,34.32,248,76,0,1954,969,0
608553,608553,39.97,446,-1,6,1957,1120,0
811778,811778,86.19,646,23,2,1961,92043,0
217508,217508,20.08,404,-1,12,1976,3684,0
1180091,1180091,50.61,263,-1,1,1981,3684,0
167198,167198,27.3,220,48,7,1984,79008,0
448773,448773,89.78,308,169,5,1970,479994,0
897837,897837,71.16,215,-1,2,2003,1512,0
368898,368898,176.98,331,-1,8,1942,46944,0
782074,782074,7.04,359,-1,1,1998,166081,0
700429,700429,54.29,251,-1,0,1945,184,0
425239,425239,11.48,536,133,1,1931,397,0
